"time","future","rate"
"2021-10-31T08:00:00+00:00","BTC-PERP","0.000024"
"2021-10-31T07:00:00+00:00","BTC-PERP","0.000012"
"2021-10-31T06:00:00+00:00","BTC-PERP","0.000022"
"2021-10-31T05:00:00+00:00","BTC-PERP","0.00002"
"2021-10-31T04:00:00+00:00","BTC-PERP","0.000027"
"2021-10-31T03:00:00+00:00","BTC-PERP","0.000024"
"2021-10-31T02:00:00+00:00","BTC-PERP","0.000023"
"2021-10-31T01:00:00+00:00","BTC-PERP","0.000031"
"2021-10-31T00:00:00+00:00","BTC-PERP","0.000016"
"2021-10-30T23:00:00+00:00","BTC-PERP","0.000021"
"2021-10-30T22:00:00+00:00","BTC-PERP","0.00001"
"2021-10-30T21:00:00+00:00","BTC-PERP","0.000023"
"2021-10-30T20:00:00+00:00","BTC-PERP","0.000022"
"2021-10-30T19:00:00+00:00","BTC-PERP","0.000021"
"2021-10-30T18:00:00+00:00","BTC-PERP","0.000025"
"2021-10-30T17:00:00+00:00","BTC-PERP","0.000018"
"2021-10-30T16:00:00+00:00","BTC-PERP","0.000007"
"2021-10-30T15:00:00+00:00","BTC-PERP","0.000011"
"2021-10-30T14:00:00+00:00","BTC-PERP","0.000022"
"2021-10-30T13:00:00+00:00","BTC-PERP","0.000022"
"2021-10-30T12:00:00+00:00","BTC-PERP","0.000011"
"2021-10-30T11:00:00+00:00","BTC-PERP","0.000017"
"2021-10-30T10:00:00+00:00","BTC-PERP","0.000018"
"2021-10-30T09:00:00+00:00","BTC-PERP","0.000014"
"2021-10-30T08:00:00+00:00","BTC-PERP","0.000018"
"2021-10-30T07:00:00+00:00","BTC-PERP","0.000026"
"2021-10-30T06:00:00+00:00","BTC-PERP","0.000035"
"2021-10-30T05:00:00+00:00","BTC-PERP","0.000022"
"2021-10-30T04:00:00+00:00","BTC-PERP","0.000024"
"2021-10-30T03:00:00+00:00","BTC-PERP","0.000024"
"2021-10-30T02:00:00+00:00","BTC-PERP","0.000031"
"2021-10-30T01:00:00+00:00","BTC-PERP","0.000023"
"2021-10-30T00:00:00+00:00","BTC-PERP","0.000015"
"2021-10-29T23:00:00+00:00","BTC-PERP","0.000009"
"2021-10-29T22:00:00+00:00","BTC-PERP","0.000009"
"2021-10-29T21:00:00+00:00","BTC-PERP","0.000016"
"2021-10-29T20:00:00+00:00","BTC-PERP","0.000026"
"2021-10-29T19:00:00+00:00","BTC-PERP","0.000037"
"2021-10-29T18:00:00+00:00","BTC-PERP","0.000029"
"2021-10-29T17:00:00+00:00","BTC-PERP","0.00004"
"2021-10-29T16:00:00+00:00","BTC-PERP","0.000033"
"2021-10-29T15:00:00+00:00","BTC-PERP","0.000016"
"2021-10-29T14:00:00+00:00","BTC-PERP","0.000025"
"2021-10-29T13:00:00+00:00","BTC-PERP","0.000019"
"2021-10-29T12:00:00+00:00","BTC-PERP","0.000018"
"2021-10-29T11:00:00+00:00","BTC-PERP","0.000015"
"2021-10-29T10:00:00+00:00","BTC-PERP","0.000015"
"2021-10-29T09:00:00+00:00","BTC-PERP","0.000025"
"2021-10-29T08:00:00+00:00","BTC-PERP","0.000018"
"2021-10-29T07:00:00+00:00","BTC-PERP","0.000025"
"2021-10-29T06:00:00+00:00","BTC-PERP","0.000021"
"2021-10-29T05:00:00+00:00","BTC-PERP","0.000016"
"2021-10-29T04:00:00+00:00","BTC-PERP","0.000027"
"2021-10-29T03:00:00+00:00","BTC-PERP","0.000025"
"2021-10-29T02:00:00+00:00","BTC-PERP","0.00003"
"2021-10-29T01:00:00+00:00","BTC-PERP","0.000024"
"2021-10-29T00:00:00+00:00","BTC-PERP","0.000011"
"2021-10-28T23:00:00+00:00","BTC-PERP","0.000018"
"2021-10-28T22:00:00+00:00","BTC-PERP","0.000027"
"2021-10-28T21:00:00+00:00","BTC-PERP","0.000031"
"2021-10-28T20:00:00+00:00","BTC-PERP","0.000023"
"2021-10-28T19:00:00+00:00","BTC-PERP","0.000016"
"2021-10-28T18:00:00+00:00","BTC-PERP","0.000023"
"2021-10-28T17:00:00+00:00","BTC-PERP","0.000012"
"2021-10-28T16:00:00+00:00","BTC-PERP","0.000003"
"2021-10-28T15:00:00+00:00","BTC-PERP","0.000002"
"2021-10-28T14:00:00+00:00","BTC-PERP","-0.000001"
"2021-10-28T13:00:00+00:00","BTC-PERP","0.000008"
"2021-10-28T12:00:00+00:00","BTC-PERP","0.000005"
"2021-10-28T11:00:00+00:00","BTC-PERP","0.000008"
"2021-10-28T10:00:00+00:00","BTC-PERP","0.000012"
"2021-10-28T09:00:00+00:00","BTC-PERP","0.000015"
"2021-10-28T08:00:00+00:00","BTC-PERP","0.000001"
"2021-10-28T07:00:00+00:00","BTC-PERP","0.000008"
"2021-10-28T06:00:00+00:00","BTC-PERP","0.000001"
"2021-10-28T05:00:00+00:00","BTC-PERP","-0.000007"
"2021-10-28T04:00:00+00:00","BTC-PERP","-0.000001"
"2021-10-28T03:00:00+00:00","BTC-PERP","0.000003"
"2021-10-28T02:00:00+00:00","BTC-PERP","0.000006"
"2021-10-28T01:00:00+00:00","BTC-PERP","0.000004"
"2021-10-28T00:00:00+00:00","BTC-PERP","-0.000001"
"2021-10-27T23:00:00+00:00","BTC-PERP","-0.000004"
"2021-10-27T22:00:00+00:00","BTC-PERP","0.000012"
"2021-10-27T21:00:00+00:00","BTC-PERP","0"
"2021-10-27T20:00:00+00:00","BTC-PERP","0.000007"
"2021-10-27T19:00:00+00:00","BTC-PERP","0.000005"
"2021-10-27T18:00:00+00:00","BTC-PERP","0.000001"
"2021-10-27T17:00:00+00:00","BTC-PERP","0.00001"
"2021-10-27T16:00:00+00:00","BTC-PERP","0.000009"
"2021-10-27T15:00:00+00:00","BTC-PERP","0.000005"
"2021-10-27T14:00:00+00:00","BTC-PERP","-0.000006"
"2021-10-27T13:00:00+00:00","BTC-PERP","0.000007"
"2021-10-27T12:00:00+00:00","BTC-PERP","0.000006"
"2021-10-27T11:00:00+00:00","BTC-PERP","0.000016"
"2021-10-27T10:00:00+00:00","BTC-PERP","0.000014"
"2021-10-27T09:00:00+00:00","BTC-PERP","0.000018"
"2021-10-27T08:00:00+00:00","BTC-PERP","-0.000004"
"2021-10-27T07:00:00+00:00","BTC-PERP","0.000016"
"2021-10-27T06:00:00+00:00","BTC-PERP","0.000007"
"2021-10-27T05:00:00+00:00","BTC-PERP","0.00002"
"2021-10-27T04:00:00+00:00","BTC-PERP","0.000011"
"2021-10-27T03:00:00+00:00","BTC-PERP","0.000005"
"2021-10-27T02:00:00+00:00","BTC-PERP","-0.000001"
"2021-10-27T01:00:00+00:00","BTC-PERP","-0.000008"
"2021-10-27T00:00:00+00:00","BTC-PERP","-0.000013"
"2021-10-26T23:00:00+00:00","BTC-PERP","-0.000003"
"2021-10-26T22:00:00+00:00","BTC-PERP","0.000015"
"2021-10-26T21:00:00+00:00","BTC-PERP","0.000034"
"2021-10-26T20:00:00+00:00","BTC-PERP","0.000029"
"2021-10-26T19:00:00+00:00","BTC-PERP","0.000027"
"2021-10-26T18:00:00+00:00","BTC-PERP","0.000024"
"2021-10-26T17:00:00+00:00","BTC-PERP","0.00002"
"2021-10-26T16:00:00+00:00","BTC-PERP","0.000025"
"2021-10-26T15:00:00+00:00","BTC-PERP","0.000017"
"2021-10-26T14:00:00+00:00","BTC-PERP","0.000017"
"2021-10-26T13:00:00+00:00","BTC-PERP","0.000009"
"2021-10-26T12:00:00+00:00","BTC-PERP","0.00002"
"2021-10-26T11:00:00+00:00","BTC-PERP","0.000025"
"2021-10-26T10:00:00+00:00","BTC-PERP","0.000017"
"2021-10-26T09:00:00+00:00","BTC-PERP","0.000022"
"2021-10-26T08:00:00+00:00","BTC-PERP","0.000011"
"2021-10-26T07:00:00+00:00","BTC-PERP","0.000007"
"2021-10-26T06:00:00+00:00","BTC-PERP","0.000022"
"2021-10-26T05:00:00+00:00","BTC-PERP","0.000021"
"2021-10-26T04:00:00+00:00","BTC-PERP","0.000026"
"2021-10-26T03:00:00+00:00","BTC-PERP","0.00002"
"2021-10-26T02:00:00+00:00","BTC-PERP","0.000013"
