"time","future","rate"
"2021-09-09T11:00:00+00:00","BAND-PERP","0.000045"
"2021-09-09T11:00:00+00:00","EGLD-PERP","0.000032"
"2021-09-09T11:00:00+00:00","DEFI-PERP","0.000035"
"2021-09-09T11:00:00+00:00","POLIS-PERP","0.000017"
"2021-09-09T11:00:00+00:00","WAVES-PERP","0.000045"
"2021-09-09T11:00:00+00:00","ZEC-PERP","0.000024"
"2021-09-09T11:00:00+00:00","BAO-PERP","0.000036"
"2021-09-09T11:00:00+00:00","LUNA-PERP","0.00001"
"2021-09-09T11:00:00+00:00","XTZ-PERP","0.000016"
"2021-09-09T11:00:00+00:00","KSM-PERP","0.000028"
"2021-09-09T11:00:00+00:00","PERP-PERP","0.000038"
"2021-09-09T11:00:00+00:00","SXP-PERP","0.000017"
"2021-09-09T11:00:00+00:00","HUM-PERP","0.000513"
"2021-09-09T11:00:00+00:00","DOT-PERP","0.00001"
"2021-09-09T11:00:00+00:00","MVDA25-PERP","-0.000035"
"2021-09-09T11:00:00+00:00","LTC-PERP","-0.000013"
"2021-09-09T11:00:00+00:00","HBAR-PERP","0.000073"
"2021-09-09T11:00:00+00:00","YFI-PERP","0.000003"
"2021-09-09T11:00:00+00:00","MATIC-PERP","0.000032"
"2021-09-09T11:00:00+00:00","NEAR-PERP","0.000034"
"2021-09-09T11:00:00+00:00","ETH-PERP","0.000002"
"2021-09-09T11:00:00+00:00","DYDX-PERP","0"
"2021-09-09T11:00:00+00:00","ZIL-PERP","0.000015"
"2021-09-09T11:00:00+00:00","BAT-PERP","0.000006"
"2021-09-09T11:00:00+00:00","DENT-PERP","0.000104"
"2021-09-09T11:00:00+00:00","CRO-PERP","0.000052"
"2021-09-09T11:00:00+00:00","ALCX-PERP","0.000009"
"2021-09-09T11:00:00+00:00","ZRX-PERP","-0.000055"
"2021-09-09T11:00:00+00:00","CREAM-PERP","0.000036"
"2021-09-09T11:00:00+00:00","HOLY-PERP","-0.000066"
"2021-09-09T11:00:00+00:00","CONV-PERP","-0.000004"
"2021-09-09T11:00:00+00:00","XEM-PERP","-0.000039"
"2021-09-09T11:00:00+00:00","KNC-PERP","-0.000052"
"2021-09-09T11:00:00+00:00","REEF-PERP","0.000014"
"2021-09-09T11:00:00+00:00","LRC-PERP","-0.000025"
"2021-09-09T11:00:00+00:00","STMX-PERP","-0.000009"
"2021-09-09T11:00:00+00:00","MEDIA-PERP","-0.000243"
"2021-09-09T11:00:00+00:00","ORBS-PERP","-0.000059"
"2021-09-09T11:00:00+00:00","SECO-PERP","-0.000027"
"2021-09-09T11:00:00+00:00","REN-PERP","0.000004"
"2021-09-09T11:00:00+00:00","OKB-PERP","-0.000013"
"2021-09-09T11:00:00+00:00","HT-PERP","0.000024"
"2021-09-09T11:00:00+00:00","ETC-PERP","-0.000038"
"2021-09-09T11:00:00+00:00","MTL-PERP","0.000033"
"2021-09-09T11:00:00+00:00","STORJ-PERP","-0.000061"
"2021-09-09T11:00:00+00:00","OMG-PERP","0.000014"
"2021-09-09T11:00:00+00:00","MVDA10-PERP","-0.000015"
"2021-09-09T11:00:00+00:00","PUNDIX-PERP","0.000013"
"2021-09-09T11:00:00+00:00","SHIT-PERP","-0.000039"
"2021-09-09T11:00:00+00:00","DASH-PERP","-0.000015"
"2021-09-09T11:00:00+00:00","RAMP-PERP","-0.000008"
"2021-09-09T11:00:00+00:00","ASD-PERP","0.00005"
"2021-09-09T11:00:00+00:00","SAND-PERP","0.000016"
"2021-09-09T11:00:00+00:00","DODO-PERP","-0.000042"
"2021-09-09T11:00:00+00:00","BSV-PERP","-0.000044"
"2021-09-09T11:00:00+00:00","BAL-PERP","0.00003"
"2021-09-09T11:00:00+00:00","DAWN-PERP","-0.000199"
"2021-09-09T11:00:00+00:00","STX-PERP","0.000089"
"2021-09-09T11:00:00+00:00","ONT-PERP","-0.000016"
"2021-09-09T11:00:00+00:00","PRIV-PERP","0.000072"
"2021-09-09T11:00:00+00:00","EXCH-PERP","0.000013"
"2021-09-09T11:00:00+00:00","CUSDT-PERP","-0.000019"
"2021-09-09T11:00:00+00:00","MTA-PERP","-0.000005"
"2021-09-09T11:00:00+00:00","HNT-PERP","0.000034"
"2021-09-09T11:00:00+00:00","LEO-PERP","-0.000041"
"2021-09-09T11:00:00+00:00","BNT-PERP","-0.000014"
"2021-09-09T11:00:00+00:00","DMG-PERP","0.000969"
"2021-09-09T11:00:00+00:00","ALICE-PERP","0.00003"
"2021-09-09T11:00:00+00:00","USDT-PERP","-0.000006"
"2021-09-09T11:00:00+00:00","CEL-PERP","0.000034"
"2021-09-09T11:00:00+00:00","FLM-PERP","-0.000003"
"2021-09-09T10:00:00+00:00","LINK-PERP","0.000011"
"2021-09-09T10:00:00+00:00","FTT-PERP","0.000037"
"2021-09-09T10:00:00+00:00","IOTA-PERP","-0.000054"
"2021-09-09T10:00:00+00:00","TRU-PERP","0.000069"
"2021-09-09T10:00:00+00:00","AVAX-PERP","0.000037"
"2021-09-09T10:00:00+00:00","LUNA-PERP","0.000018"
"2021-09-09T10:00:00+00:00","STEP-PERP","0.000089"
"2021-09-09T10:00:00+00:00","BNT-PERP","0.000015"
"2021-09-09T10:00:00+00:00","GRT-PERP","-0.00003"
"2021-09-09T10:00:00+00:00","DMG-PERP","0.000964"
"2021-09-09T10:00:00+00:00","ROOK-PERP","0.000082"
"2021-09-09T10:00:00+00:00","STORJ-PERP","-0.000046"
"2021-09-09T10:00:00+00:00","NEAR-PERP","0.000038"
"2021-09-09T10:00:00+00:00","ATLAS-PERP","-0.000191"
"2021-09-09T10:00:00+00:00","SHIB-PERP","0.000036"
"2021-09-09T10:00:00+00:00","XEM-PERP","-0.000038"
"2021-09-09T10:00:00+00:00","ZEC-PERP","0.000015"
"2021-09-09T10:00:00+00:00","DODO-PERP","-0.000021"
"2021-09-09T10:00:00+00:00","ETH-PERP","0.000003"
"2021-09-09T10:00:00+00:00","PAXG-PERP","0.000015"
"2021-09-09T10:00:00+00:00","VET-PERP","0.000001"
"2021-09-09T10:00:00+00:00","DAWN-PERP","-0.000126"
"2021-09-09T10:00:00+00:00","EXCH-PERP","0.000004"
"2021-09-09T10:00:00+00:00","MATIC-PERP","0.000024"
"2021-09-09T10:00:00+00:00","UNI-PERP","0.000011"
"2021-09-09T10:00:00+00:00","CHZ-PERP","0.000026"
"2021-09-09T10:00:00+00:00","MNGO-PERP","0.000065"
"2021-09-09T10:00:00+00:00","BNB-PERP","-0.000006"
"2021-09-09T10:00:00+00:00","HUM-PERP","0.000674"
"2021-09-09T10:00:00+00:00","LEO-PERP","-0.000115"
